"","X","Year","Week","Date","Day","value","catcorr","Bay","corTL","co"
"65",653,"2016",3,2016-06-01,"06_01",40,1.743111015,"Shinnecock",70,1
"66",662,"2016",3,2016-06-01,"06_01",40,1.743111015,"Shinnecock",70,1
"67",670,"2016",3,2016-06-01,"06_01",40,1.743111015,"Shinnecock",70,1
"68",678,"2016",3,2016-06-01,"06_01",33,1.846741152,"Shinnecock",61,1
"69",686,"2016",3,2016-06-01,"06_01",30,1.879380895,"Shinnecock",56,1
"70",694,"2016",3,2016-06-01,"06_01",40,1.743111015,"Shinnecock",70,1
"71",702,"2016",3,2016-06-01,"06_01",30,1.879380895,"Shinnecock",56,1
"72",708,"2016",3,2016-06-01,"06_01",30,1.879380895,"Shinnecock",56,1
"73",714,"2016",3,2016-06-01,"06_01",46,1.624237594,"Shinnecock",75,1
"74",720,"2016",3,2016-06-01,"06_01",41,1.72507236,"Shinnecock",71,1
"75",726,"2016",3,2016-06-01,"06_01",49,1.557312077,"Shinnecock",76,1
"76",732,"2016",3,2016-06-01,"06_01",33,1.846741152,"Shinnecock",61,1
"77",738,"2016",3,2016-06-01,"06_01",30,1.879380895,"Shinnecock",56,1
"78",16,"2016",4,2016-06-10,"06_10",52,1.48823882,"Shinnecock",77,1
"79",17,"2016",4,2016-06-10,"06_10",40,1.743111015,"Shinnecock",70,1
"80",18,"2016",4,2016-06-10,"06_10",31,1.869227139,"Shinnecock",58,1
"81",19,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"82",20,"2016",4,2016-06-10,"06_10",43,1.686732572,"Shinnecock",73,1
"83",21,"2016",4,2016-06-10,"06_10",24,1.926980625,"Shinnecock",46,1
"84",22,"2016",4,2016-06-10,"06_10",43,1.686732572,"Shinnecock",73,1
"85",23,"2016",4,2016-06-10,"06_10",10,1.978862417,"Shinnecock",20,1
"86",24,"2016",4,2016-06-10,"06_10",49,1.557312077,"Shinnecock",76,1
"87",112,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"88",113,"2016",4,2016-06-10,"06_10",21,1.943668526,"Shinnecock",41,1
"89",114,"2016",4,2016-06-10,"06_10",48,1.579981685,"Shinnecock",76,1
"90",115,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"91",116,"2016",4,2016-06-10,"06_10",31,1.869227139,"Shinnecock",58,1
"92",117,"2016",4,2016-06-10,"06_10",35,1.821184158,"Shinnecock",64,1
"93",118,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"94",119,"2016",4,2016-06-10,"06_10",45,1.645659032,"Shinnecock",74,1
"95",185,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"96",186,"2016",4,2016-06-10,"06_10",36,1.807205438,"Shinnecock",65,1
"97",187,"2016",4,2016-06-10,"06_10",46,1.624237594,"Shinnecock",75,1
"98",188,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"99",189,"2016",4,2016-06-10,"06_10",47,1.60231878,"Shinnecock",75,1
"100",190,"2016",4,2016-06-10,"06_10",40,1.743111015,"Shinnecock",70,1
"101",191,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"102",250,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"103",251,"2016",4,2016-06-10,"06_10",48,1.579981685,"Shinnecock",76,1
"104",252,"2016",4,2016-06-10,"06_10",37,1.792410193,"Shinnecock",66,1
"105",253,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"106",305,"2016",4,2016-06-10,"06_10",49,1.557312077,"Shinnecock",76,1
"107",306,"2016",4,2016-06-10,"06_10",41,1.72507236,"Shinnecock",71,1
"108",307,"2016",4,2016-06-10,"06_10",56,1.397281537,"Shinnecock",78,1
"109",308,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"110",349,"2016",4,2016-06-10,"06_10",45,1.645659032,"Shinnecock",74,1
"111",350,"2016",4,2016-06-10,"06_10",47,1.60231878,"Shinnecock",75,1
"112",351,"2016",4,2016-06-10,"06_10",40,1.743111015,"Shinnecock",70,1
"113",386,"2016",4,2016-06-10,"06_10",43,1.686732572,"Shinnecock",73,1
"114",387,"2016",4,2016-06-10,"06_10",37,1.792410193,"Shinnecock",66,1
"115",388,"2016",4,2016-06-10,"06_10",43,1.686732572,"Shinnecock",73,1
"116",419,"2016",4,2016-06-10,"06_10",49,1.557312077,"Shinnecock",76,1
"117",420,"2016",4,2016-06-10,"06_10",38,1.776793505,"Shinnecock",68,1
"118",445,"2016",4,2016-06-10,"06_10",47,1.60231878,"Shinnecock",75,1
"119",446,"2016",4,2016-06-10,"06_10",50,1.534401164,"Shinnecock",77,1
"120",469,"2016",4,2016-06-10,"06_10",47,1.60231878,"Shinnecock",75,1
"121",470,"2016",4,2016-06-10,"06_10",34,1.834357323,"Shinnecock",62,1
"122",492,"2016",4,2016-06-10,"06_10",46,1.624237594,"Shinnecock",75,1
"123",493,"2016",4,2016-06-10,"06_10",40,1.743111015,"Shinnecock",70,1
"124",512,"2016",4,2016-06-10,"06_10",30,1.879380895,"Shinnecock",56,1
"125",513,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"126",530,"2016",4,2016-06-10,"06_10",47,1.60231878,"Shinnecock",75,1
"127",531,"2016",4,2016-06-10,"06_10",43,1.686732572,"Shinnecock",73,1
"128",547,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"129",562,"2016",4,2016-06-10,"06_10",53,1.465183611,"Shinnecock",78,1
"130",577,"2016",4,2016-06-10,"06_10",43,1.686732572,"Shinnecock",73,1
"131",592,"2016",4,2016-06-10,"06_10",51,1.511344179,"Shinnecock",77,1
"132",607,"2016",4,2016-06-10,"06_10",35,1.821184158,"Shinnecock",64,1
"133",621,"2016",4,2016-06-10,"06_10",46,1.624237594,"Shinnecock",75,1
"134",634,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"135",645,"2016",4,2016-06-10,"06_10",35,1.821184158,"Shinnecock",64,1
"136",654,"2016",4,2016-06-10,"06_10",41,1.72507236,"Shinnecock",71,1
"137",663,"2016",4,2016-06-10,"06_10",48,1.579981685,"Shinnecock",76,1
"138",671,"2016",4,2016-06-10,"06_10",48,1.579981685,"Shinnecock",76,1
"139",679,"2016",4,2016-06-10,"06_10",42,1.706267717,"Shinnecock",72,1
"140",687,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"141",695,"2016",4,2016-06-10,"06_10",53,1.465183611,"Shinnecock",78,1
"142",703,"2016",4,2016-06-10,"06_10",33,1.846741152,"Shinnecock",61,1
"143",709,"2016",4,2016-06-10,"06_10",38,1.776793505,"Shinnecock",68,1
"144",715,"2016",4,2016-06-10,"06_10",39,1.760357288,"Shinnecock",69,1
"145",721,"2016",4,2016-06-10,"06_10",41,1.72507236,"Shinnecock",71,1
"146",727,"2016",4,2016-06-10,"06_10",44,1.666511679,"Shinnecock",73,1
"147",733,"2016",4,2016-06-10,"06_10",40,1.743111015,"Shinnecock",70,1
"148",739,"2016",4,2016-06-10,"06_10",37,1.792410193,"Shinnecock",66,1
"149",743,"2016",4,2016-06-10,"06_10",37,1.792410193,"Shinnecock",66,1
"150",25,"2016",5,2016-06-17,"06_17",36,1.807205438,"Shinnecock",65,2
"151",26,"2016",5,2016-06-17,"06_17",48,1.579981685,"Shinnecock",76,1
"152",27,"2016",5,2016-06-17,"06_17",57,1.375371023,"Shinnecock",78,1
"153",28,"2016",5,2016-06-17,"06_17",51,1.511344179,"Shinnecock",77,1
"154",29,"2016",5,2016-06-17,"06_17",30,1.879380895,"Shinnecock",56,2
"155",30,"2016",5,2016-06-17,"06_17",49,1.557312077,"Shinnecock",76,1
"156",31,"2016",5,2016-06-17,"06_17",36,1.807205438,"Shinnecock",65,2
"157",32,"2016",5,2016-06-17,"06_17",28,1.897656828,"Shinnecock",53,2
"158",120,"2016",5,2016-06-17,"06_17",63,1.256570527,"Shinnecock",79,1
"159",121,"2016",5,2016-06-17,"06_17",46,1.624237594,"Shinnecock",75,1
"160",122,"2016",5,2016-06-17,"06_17",53,1.465183611,"Shinnecock",78,1
"161",123,"2016",5,2016-06-17,"06_17",55,1.419611821,"Shinnecock",78,1
"162",124,"2016",5,2016-06-17,"06_17",47,1.60231878,"Shinnecock",75,1
"163",125,"2016",5,2016-06-17,"06_17",28,1.897656828,"Shinnecock",53,2
"164",126,"2016",5,2016-06-17,"06_17",43,1.686732572,"Shinnecock",73,1
"165",127,"2016",5,2016-06-17,"06_17",30,1.879380895,"Shinnecock",56,2
"166",192,"2016",5,2016-06-17,"06_17",28,1.897656828,"Shinnecock",53,2
"167",193,"2016",5,2016-06-17,"06_17",32,1.858356313,"Shinnecock",59,2
"168",194,"2016",5,2016-06-17,"06_17",52,1.48823882,"Shinnecock",77,1
"169",195,"2016",5,2016-06-17,"06_17",41,1.72507236,"Shinnecock",71,1
"170",196,"2016",5,2016-06-17,"06_17",57,1.375371023,"Shinnecock",78,1
"171",197,"2016",5,2016-06-17,"06_17",31,1.869227139,"Shinnecock",58,2
"172",198,"2016",5,2016-06-17,"06_17",56,1.397281537,"Shinnecock",78,1
"173",199,"2016",5,2016-06-17,"06_17",43,1.686732572,"Shinnecock",73,1
"174",254,"2016",5,2016-06-17,"06_17",32,1.858356313,"Shinnecock",59,2
"175",255,"2016",5,2016-06-17,"06_17",47,1.60231878,"Shinnecock",75,1
"176",256,"2016",5,2016-06-17,"06_17",43,1.686732572,"Shinnecock",73,1
"177",257,"2016",5,2016-06-17,"06_17",45,1.645659032,"Shinnecock",74,1
"178",258,"2016",5,2016-06-17,"06_17",50,1.534401164,"Shinnecock",77,1
"179",259,"2016",5,2016-06-17,"06_17",33,1.846741152,"Shinnecock",61,2
"180",260,"2016",5,2016-06-17,"06_17",56,1.397281537,"Shinnecock",78,1
"181",261,"2016",5,2016-06-17,"06_17",46,1.624237594,"Shinnecock",75,1
"182",309,"2016",5,2016-06-17,"06_17",52,1.48823882,"Shinnecock",77,1
"183",310,"2016",5,2016-06-17,"06_17",42,1.706267717,"Shinnecock",72,1
"184",311,"2016",5,2016-06-17,"06_17",26,1.913436218,"Shinnecock",50,2
"185",312,"2016",5,2016-06-17,"06_17",44,1.666511679,"Shinnecock",73,1
"186",313,"2016",5,2016-06-17,"06_17",38,1.776793505,"Shinnecock",68,1
"187",314,"2016",5,2016-06-17,"06_17",45,1.645659032,"Shinnecock",74,1
"188",352,"2016",5,2016-06-17,"06_17",28,1.897656828,"Shinnecock",53,2
"189",353,"2016",5,2016-06-17,"06_17",33,1.846741152,"Shinnecock",61,2
"190",354,"2016",5,2016-06-17,"06_17",32,1.858356313,"Shinnecock",59,2
"191",355,"2016",5,2016-06-17,"06_17",36,1.807205438,"Shinnecock",65,2
"192",356,"2016",5,2016-06-17,"06_17",29,1.888847084,"Shinnecock",55,2
"193",389,"2016",5,2016-06-17,"06_17",32,1.858356313,"Shinnecock",59,2
"194",390,"2016",5,2016-06-17,"06_17",50,1.534401164,"Shinnecock",77,1
"195",391,"2016",5,2016-06-17,"06_17",51,1.511344179,"Shinnecock",77,1
"196",392,"2016",5,2016-06-17,"06_17",30,1.879380895,"Shinnecock",56,2
"197",421,"2016",5,2016-06-17,"06_17",27,1.905842296,"Shinnecock",51,2
"198",422,"2016",5,2016-06-17,"06_17",27,1.905842296,"Shinnecock",51,2
"199",423,"2016",5,2016-06-17,"06_17",45,1.645659032,"Shinnecock",74,1
"200",424,"2016",5,2016-06-17,"06_17",41,1.72507236,"Shinnecock",71,1
"201",447,"2016",5,2016-06-17,"06_17",55,1.419611821,"Shinnecock",78,1
"202",448,"2016",5,2016-06-17,"06_17",22,1.938548348,"Shinnecock",43,2
"203",449,"2016",5,2016-06-17,"06_17",27,1.905842296,"Shinnecock",51,2
"204",450,"2016",5,2016-06-17,"06_17",25,1.920471453,"Shinnecock",48,2
"205",471,"2016",5,2016-06-17,"06_17",50,1.534401164,"Shinnecock",77,1
"206",472,"2016",5,2016-06-17,"06_17",28,1.897656828,"Shinnecock",53,2
"207",473,"2016",5,2016-06-17,"06_17",53,1.465183611,"Shinnecock",78,1
"208",474,"2016",5,2016-06-17,"06_17",27,1.905842296,"Shinnecock",51,2
"209",494,"2016",5,2016-06-17,"06_17",59,1.333117473,"Shinnecock",79,1
"210",495,"2016",5,2016-06-17,"06_17",62,1.274595083,"Shinnecock",79,1
"211",514,"2016",5,2016-06-17,"06_17",34,1.834357323,"Shinnecock",62,2
"212",515,"2016",5,2016-06-17,"06_17",39,1.760357288,"Shinnecock",69,1
"213",532,"2016",5,2016-06-17,"06_17",33,1.846741152,"Shinnecock",61,2
"214",533,"2016",5,2016-06-17,"06_17",53,1.465183611,"Shinnecock",78,1
"215",548,"2016",5,2016-06-17,"06_17",61,1.293386184,"Shinnecock",79,1
"216",549,"2016",5,2016-06-17,"06_17",46,1.624237594,"Shinnecock",75,1
"217",563,"2016",5,2016-06-17,"06_17",52,1.48823882,"Shinnecock",77,1
"218",564,"2016",5,2016-06-17,"06_17",28,1.897656828,"Shinnecock",53,2
"219",578,"2016",5,2016-06-17,"06_17",54,1.44227622,"Shinnecock",78,1
"220",579,"2016",5,2016-06-17,"06_17",50,1.534401164,"Shinnecock",77,1
"221",593,"2016",5,2016-06-17,"06_17",57,1.375371023,"Shinnecock",78,1
"222",594,"2016",5,2016-06-17,"06_17",43,1.686732572,"Shinnecock",73,1
"223",608,"2016",5,2016-06-17,"06_17",43,1.686732572,"Shinnecock",73,1
"224",609,"2016",5,2016-06-17,"06_17",46,1.624237594,"Shinnecock",75,1
"225",622,"2016",5,2016-06-17,"06_17",50,1.534401164,"Shinnecock",77,1
"226",623,"2016",5,2016-06-17,"06_17",42,1.706267717,"Shinnecock",72,1
"227",635,"2016",5,2016-06-17,"06_17",45,1.645659032,"Shinnecock",74,1
"228",646,"2016",5,2016-06-17,"06_17",30,1.879380895,"Shinnecock",56,2
"229",655,"2016",5,2016-06-17,"06_17",27,1.905842296,"Shinnecock",51,2
"230",664,"2016",5,2016-06-17,"06_17",27,1.905842296,"Shinnecock",51,2
"231",672,"2016",5,2016-06-17,"06_17",25,1.920471453,"Shinnecock",48,2
"232",680,"2016",5,2016-06-17,"06_17",52,1.48823882,"Shinnecock",77,1
